주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
152-2-000008,내당4동공영주차장,공영,노외,,대구광역시 서구 내당동 426-3,20,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,10,300,210,6000,100000,현금,"성실납세증 부착차량, 우수자원봉사자증을 소지한 사람으로서 자원봉사 활동을 위해 주차한 경우 면제, 경차, 친환경 저공해차량 60퍼센트할인, 장애인, 국가유공자, 고엽제휴유의증 표지부착 차량 2시간면제 50퍼센트할인,  임산부, 아이조아카드소지자, 요일제차량 57퍼센트 할인",대구광역시 서구청,053-663-3013,35.85682079,128.5458873,,2022-06-10
152-1-000005,달구벌대로337길인근,공영,노상,대구광역시 서구 달구벌대로337길 19,대구광역시 서구 내당동 459-11,51,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.85662447,128.5498622,,2022-06-10
152-1-000013,서대구로4길인근,공영,노상,대구광역시 서구 서대구로4길 18-1,대구광역시 서구 내당동 224-3,38,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86023698,128.5589447,,2022-06-10
152-1-000011,서대구로2길인근,공영,노상,대구광역시 서구 달구벌대로 1781-1,대구광역시 서구 내당동 224-11,73,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.85889951,128.5597691,,2022-06-10
152-1-000015,서대구로6길인근,공영,노상,대구광역시 서구 서대구로6길 22,대구광역시 서구 내당동 213-19,33,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86103344,128.560083,,2022-06-10
152-1-000019,평리로50길인근,공영,노상,대구광역시 서구 평리로50길 9-1,대구광역시 서구 내당동 302-37,76,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86171573,128.5506908,,2022-06-10
152-1-000007,달구벌대로361길인근,공영,노상,대구광역시 서구 달구벌대로361길 3,대구광역시 서구 내당동 219-10,31,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.85982639,128.561781,,2022-06-10
152-1-000009,서대구로10길인근,공영,노상,대구광역시 서구 서대구로10길 21,대구광역시 서구 내당동 239-19,76,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86347344,128.558681,,2022-06-10
152-1-000017,서대구로8길인근,공영,노상,대구광역시 서구 서대구로8길 50,대구광역시 서구 내당동 24-35,58,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86195437,128.562026,,2022-06-10
152-1-000021,평리로62길인근,공영,노상,,대구광역시 서구 내당동 341-3,28,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86351194,128.5632779,,2022-06-10
